area,url,name,website,phone,email,socials,careTypes,page,position_on_page
"Bedfordshire","https://www.carechoices.co.uk/care-location/baycroft-flitwick-in-flitwick/","Baycroft Flitwick Care Home","https://www.countrycourtcare.co/our-homes/baycroft-flitwick-care-home/?UTM_Source=Other&UTM_medium=paid_advertising&UTM_campaign=baycroftflitwick&UTM_Term=carechoicesomes/flitwick-care-home/#Contact","(01525) 307665","","https://www.facebook.com/BaycroftFlitwick/?locale=en_GB;https://www.instagram.com/countrycourtuk/","Care Home;Respite Care;Care Home;Respite Care;Dementia;Mental Health;Older People (65+);Physical Disabilities;Sensory Impairments;Younger Adults (Under 65)","1","1"
"Bedfordshire","https://www.carechoices.co.uk/care-location/mega-resources-nursing-care-bedford-in-bedford-bedfordshire/","Mega Resources Nursing & Care Bedford","https://megaresources.co.uk/","(01234) 353157","","","Home Care;Live-in Care;Respite Care;Home Care;Live-in Care;Respite Care;Dementia;Learning Disabilities & Autism;Mental Health;Older People (65+);Physical Disabilities;Younger Adults (Under 65)","1","3"
"Bedfordshire","https://www.carechoices.co.uk/care-location/devon-lodge-residential-home-in-milton-keynes-buckinghamshire/","Amberley Healthcare (Devon Lodge) Residential Home","http://www.devonlodgecare.co.uk","(01908) 281470","","","Care Home;Nursing Homes;Respite Care;Care Home;Nursing Homes;Respite Care;Dementia;Older People (65+);Palliative Care","1","5"
"Bedfordshire","https://www.carechoices.co.uk/care-location/vita-cura-limited/","Vita Cura Limited","https://www.vitacura.co.uk/bespoke-care/","(020) 3900 2300","","https://www.facebook.com/people/Vita-Cura-Live-In-Care/100064378350941/;https://www.instagram.com/vitacuracare/","Home Care;Live-in Care;Respite Care;Home Care;Live-in Care;Respite Care;Dementia;Learning Disabilities & Autism;Mental Health;Older People (65+);Palliative Care;Physical Disabilities;Sensory Impairments;Younger Adults (Under 65);Alzheimer's;Arthritis;Bariatric Care/Obesity;Bipolar/Manic Depression;Cancer Care;Cerebral Palsy;Colitis & Crohn's Disease;Diabetes;Down Syndrome;Epilepsy;Head/Brain Injury;Heart Conditions;Huntington's Disease;Motor Neurone Disease;Multiple Sclerosis;Muscular Dystrophy;Parkinson's Disease;Speech Impairment;Stroke;Young Onset Dementia","1","7"
"Bedfordshire","https://www.carechoices.co.uk/care-location/promedica24-live-in-care-services/","Promedica24 UK (Head Office) National Live in Care","https://promedica24homecare.co.uk/","0800 086 8686","","https://www.facebook.com/promedica24.uk;https://twitter.com/Promedica24uk","Complex Care;Day Care;Home Care;Learning Disabilities;Live-in Care;Respite Care;Supported Living;Complex Care;Day Care;Home Care;Learning Disabilities;Live-in Care;Respite Care;Supported Living;Dementia;Eating Disorders;Older People (65+);Palliative Care;Physical Disabilities;Sensory Impairments;Younger Adults (Under 65);Alzheimer's;Arthritis;Cancer Care;Cerebral Palsy;Diabetes;Epilepsy;Head/Brain Injury;Heart Conditions;Huntington's Disease;Motor Neurone Disease;Multiple Sclerosis;Muscular Dystrophy;Neuropathic;Orthopaedic;Parkinson's Disease;Prader-Willi Syndrome;Speech Impairment;Stroke;Young Onset Dementia","1","8"
"Bedfordshire","https://www.carechoices.co.uk/care-location/mumbys-homecare-support-limited-in-abingdon-oxfordshire/","Mumby’s Live-in Care","https://mumbys.com/","(01865) 391187","","https://www.facebook.com/MumbysLiveinCare;https://www.instagram.com/mumbyshomecare/","Complex Care;Live-in Care;Respite Care;Complex Care;Live-in Care;Respite Care;Dementia;Drug & Alcohol Dependence;Eating Disorders;Learning Disabilities & Autism;Mental Health;Older People (65+);Palliative Care;Physical Disabilities;Sensory Impairments;Younger Adults (Under 65);Alzheimer's;Arthritis;Bariatric Care/Obesity;Cancer Care;Cerebral Palsy;Diabetes;Epilepsy;Head/Brain Injury;Heart Conditions;Huntington's Disease;Motor Neurone Disease;Multiple Sclerosis;Muscular Dystrophy;Parkinson's Disease;Speech Impairment;Stroke;Young Onset Dementia","1","9"
"Bedfordshire","https://www.carechoices.co.uk/care-location/helping-hands-live-in-national-in-alcester/","Helping Hands Live-In Home Care","https://www.helpinghandshomecare.co.uk/live-in-care/?utm_source=Care%20Choices%20Online%20Directory&utm_medium=Partner&utm_campaign=Care%20Choices%20Website%20Click%20National%20Listing","0333 060 3705","","","Home Care;Live-in Care;Respite Care;Home Care;Live-in Care;Respite Care;Dementia;Learning Disabilities & Autism;Mental Health;Older People (65+);Palliative Care;Physical Disabilities;Sensory Impairments;Younger Adults (Under 65);Alzheimer's;Arthritis;Asperger Syndrome;Cancer Care;Cerebral Palsy;Colitis & Crohn's Disease;Down Syndrome;Head/Brain Injury;Heart Conditions;Multiple Sclerosis;Muscular Dystrophy;Parkinson's Disease;Speech Impairment;Stroke","1","10"
"Bedfordshire","https://www.carechoices.co.uk/care-location/care24seven-in-chiswick/","Care24Seven","https://care24seven.com/","0333 207 5727","","https://www.facebook.com/care24seven;https://www.instagram.com/care24seven/;https://twitter.com/care24seven","Home Care;Live-in Care;Supported Living;Home Care;Live-in Care;Supported Living;Older People (65+);Younger Adults (Under 65)","1","11"
"Bedfordshire","https://www.carechoices.co.uk/care-location/novus-care/","Novus Care – A National Home Care Provider","https://www.novus-care.com/","0808 208 5131","","https://www.facebook.com/novuscare/;https://www.instagram.com/novuscare/?hl=en;https://twitter.com/NovusCare","Day Care;Home Care;Live-in Care;Respite Care;Supported Living;Day Care;Home Care;Live-in Care;Respite Care;Supported Living;Dementia;Drug & Alcohol Dependence;Eating Disorders;Learning Disabilities & Autism;Mental Health;Older People (65+);Palliative Care;Physical Disabilities;Sensory Impairments;Younger Adults (Under 65);Alzheimer's;Arthritis;Asperger Syndrome;Bariatric Care/Obesity;Bipolar/Manic Depression;Cancer Care;Cerebral Palsy;Colitis & Crohn's Disease;Diabetes;Down Syndrome;Epilepsy;Head/Brain Injury;Heart Conditions;Huntington's Disease;Motor Neurone Disease;Multiple Sclerosis;Muscular Dystrophy;Neuropathic;Orthopaedic;Parkinson's Disease;Prader-Willi Syndrome;Schizophrenia;Speech Impairment;Stroke;Young Onset Dementia","1","12"
"Bedfordshire","https://www.carechoices.co.uk/care-location/access-care-live-in-care-in-the-uk/","Access Care – Trusted Live-in Care Specialists Since 1994","http://www.access-care.co.uk","0330 401 0023","","https://www.facebook.com/accesscare;https://www.instagram.com/access_care/","Home Care;Live-in Care;Respite Care;Home Care;Live-in Care;Respite Care;Dementia;Eating Disorders;Learning Disabilities & Autism;Mental Health;Older People (65+);Palliative Care;Physical Disabilities;Sensory Impairments;Younger Adults (Under 65);Alzheimer's;Arthritis;Asperger Syndrome;Bariatric Care/Obesity;Bipolar/Manic Depression;Cancer Care;Cerebral Palsy;Colitis & Crohn's Disease;Diabetes;Down Syndrome;Epilepsy;Head/Brain Injury;Heart Conditions;Huntington's Disease;Motor Neurone Disease;Multiple Sclerosis;Muscular Dystrophy;Neuropathic;Orthopaedic;Parkinson's Disease;Prader-Willi Syndrome;Schizophrenia;Speech Impairment;Stroke;Young Onset Dementia","1","13"
